Designator,Mid X,Mid Y,Rotation,Layer
D1,84.641999,-86.577842,90.0,bottom
D10,103.691999,-124.677842,90.0,bottom
D11,122.741999,-124.677842,90.0,bottom
D12,141.791999,-124.677842,90.0,bottom
D13,84.641999,-143.727842,90.0,bottom
D14,103.691999,-143.727842,90.0,bottom
D15,122.741999,-143.727842,90.0,bottom
D16,141.791999,-143.727842,90.0,bottom
D17,151.317,-94.73,0.0,top
D18,132.267,-94.73,0.0,top
D19,113.217,-94.73,0.0,top
D2,103.691999,-86.577842,90.0,bottom
D20,94.167,-94.73,0.0,top
D21,93.531998,-113.985684,180.0,top
D22,113.216998,-113.985684,180.0,top
D23,132.266998,-113.985684,180.0,top
D24,151.316998,-113.985684,180.0,top
D25,151.317,-132.83,0.0,top
D26,132.267,-132.83,0.0,top
D27,112.582,-132.83,0.0,top
D28,93.532,-132.83,0.0,top
D3,122.741999,-86.577842,90.0,bottom
D4,141.791999,-86.577842,90.0,bottom
D5,84.641999,-105.627842,90.0,bottom
D6,103.691999,-105.627842,90.0,bottom
D7,122.741999,-105.627842,90.0,bottom
D8,141.791999,-105.627842,90.0,bottom
D9,84.641999,-124.677842,90.0,bottom
OLED1,100.516999,-65.622842,0.0,top
R1,137.981999,-70.067842,0.0,top
R2,103.666999,-60.532842,90.0,top
R3,103.666999,-70.692842,270.0,top
SW1,94.166999,-83.217842,0.0,top
SW10,113.216999,-121.317842,0.0,top
SW11,132.266999,-121.317842,0.0,top
SW12,151.316999,-121.317842,0.0,top
SW13,94.166999,-140.367842,0.0,top
SW14,113.216999,-140.367842,0.0,top
SW15,132.266999,-140.367842,0.0,top
SW16,151.316999,-140.367842,0.0,top
SW2,113.216999,-83.217842,0.0,top
SW3,132.266999,-83.217842,0.0,top
SW4,151.316999,-83.217842,0.0,top
SW5,94.166999,-102.267842,0.0,top
SW6,113.216999,-102.267842,0.0,top
SW7,132.266999,-102.267842,0.0,top
SW8,151.316999,-102.267842,0.0,top
SW9,94.166999,-121.317842,0.0,top
XIAO1,122.106999,-64.987842,0.0,top
